,,,Support@Rank1,Support@Rank1,Support@Rank1,Rival@Rank2,Rival@Rank2,Rival@Rank2,Rival@Rank3,Rival@Rank3,Rival@Rank3,Rival@Rank4,Rival@Rank4,Rival@Rank4,Rival@Rank5,Rival@Rank5,Rival@Rank5
,,,Acceptance (μ±σ),Lift (μ±σ),Adoption (μ±σ),Acceptance (μ±σ),Lift (μ±σ),Adoption (μ±σ),Acceptance (μ±σ),Lift (μ±σ),Adoption (μ±σ),Acceptance (μ±σ),Lift (μ±σ),Adoption (μ±σ),Acceptance (μ±σ),Lift (μ±σ),Adoption (μ±σ)
Model,Confidence Bin,N,,,,,,,,,,,,,,,
Flan-T5-small,Conf < 0.65,423,87.32 ± 17.26%,35.48 ± 17.57%,99.29 ± 8.4%,82.85 ± 21.86%,50.35 ± 22.82%,89.6 ± 30.56%,73.83 ± 29.62%,62.43 ± 28.19%,83.69 ± 36.99%,59.65 ± 34.53%,56.2 ± 33.83%,70.21 ± 45.79%,42.49 ± 35.8%,41.67 ± 35.35%,47.75 ± 50.01%
Flan-T5-small,0.65 ≤ Conf ≤ 0.85,342,94.12 ± 10.34%,18.88 ± 11.58%,99.12 ± 9.34%,74.09 ± 27.52%,56.01 ± 27.9%,82.46 ± 38.09%,62.89 ± 33.7%,58.05 ± 33.17%,72.51 ± 44.71%,50.76 ± 35.53%,49.23 ± 34.93%,57.02 ± 49.58%,35.73 ± 35.83%,35.41 ± 35.66%,40.35 ± 49.13%
Flan-T5-small,Conf > 0.85,456,98.53 ± 2.62%,4.17 ± 4.3%,100.0 ± 0.0%,60.83 ± 34.67%,56.68 ± 33.89%,64.47 ± 47.91%,50.7 ± 35.53%,49.63 ± 35.19%,55.04 ± 49.8%,41.34 ± 35.51%,41.0 ± 35.37%,42.11 ± 49.43%,28.63 ± 33.62%,28.55 ± 33.58%,29.82 ± 45.8%
Flan-T5-large,Conf < 0.65,97,83.69 ± 22.96%,29.34 ± 21.71%,94.85 ± 22.23%,80.43 ± 27.68%,42.96 ± 28.06%,86.6 ± 34.24%,70.13 ± 34.03%,63.28 ± 34.4%,75.26 ± 43.38%,56.48 ± 37.18%,55.39 ± 36.99%,61.86 ± 48.83%,42.83 ± 38.46%,42.59 ± 38.25%,45.36 ± 50.04%
Flan-T5-large,0.65 ≤ Conf ≤ 0.85,97,90.69 ± 15.9%,14.51 ± 15.81%,96.91 ± 17.4%,81.54 ± 25.79%,60.97 ± 26.13%,84.54 ± 36.34%,57.18 ± 39.17%,54.66 ± 38.32%,62.89 ± 48.56%,51.73 ± 38.65%,51.1 ± 38.66%,55.67 ± 49.94%,35.4 ± 36.79%,35.29 ± 36.75%,38.14 ± 48.83%
Flan-T5-large,Conf > 0.85,1027,97.6 ± 8.28%,-0.69 ± 8.21%,99.03 ± 9.82%,54.11 ± 41.01%,52.68 ± 40.28%,55.6 ± 49.71%,43.06 ± 39.47%,42.84 ± 39.34%,44.3 ± 49.7%,35.69 ± 38.43%,35.64 ± 38.39%,36.22 ± 48.09%,30.58 ± 36.77%,30.57 ± 36.77%,31.06 ± 46.3%
Llama-2-7b-chat-hf,Conf < 0.65,617,56.27 ± 27.62%,4.94 ± 25.17%,74.88 ± 43.41%,44.34 ± 28.75%,16.15 ± 28.68%,49.92 ± 50.04%,32.95 ± 26.77%,20.27 ± 26.59%,35.66 ± 47.94%,21.92 ± 23.15%,16.19 ± 22.61%,22.53 ± 41.81%,16.77 ± 20.78%,14.7 ± 20.46%,15.88 ± 36.58%
Llama-2-7b-chat-hf,0.65 ≤ Conf ≤ 0.85,333,71.81 ± 24.03%,-1.32 ± 23.28%,87.09 ± 33.58%,48.46 ± 29.64%,31.3 ± 28.95%,55.86 ± 49.73%,29.34 ± 26.95%,23.35 ± 26.54%,29.73 ± 45.78%,21.14 ± 22.9%,18.45 ± 22.7%,21.62 ± 41.23%,15.9 ± 20.19%,14.87 ± 20.03%,15.92 ± 36.64%
Llama-2-7b-chat-hf,Conf > 0.85,271,86.85 ± 15.62%,-5.45 ± 15.34%,97.05 ± 16.96%,33.42 ± 30.53%,28.67 ± 29.27%,35.06 ± 47.8%,19.6 ± 21.97%,17.78 ± 21.85%,16.61 ± 37.28%,16.75 ± 22.21%,15.93 ± 22.11%,13.65 ± 34.4%,8.88 ± 13.85%,8.59 ± 13.73%,6.27 ± 24.29%
